i      x
49
0 0.000000
1 0.400000
2 0.800000
3 1.200000
4 1.600000
5 2.000000
6 2.400000
7 2.600000
8 2.800000
9 3.000000
10 3.200000
11 3.400000
12 3.600000
13 3.700000
14 3.800000
15 3.900000
16 4.000000
17 4.100000
18 4.200000
19 4.300000
20 4.400000
21 4.500000
22 4.600000
23 4.700000
24 4.800000
25 4.900000
26 5.000000
27 5.100000
28 5.200000
29 5.300000
30 5.400000
31 5.500000
32 5.600000
33 5.700000
34 5.800000
35 5.900000
36 6.000000
37 6.100000
38 6.300000
39 6.500000
40 6.700000
41 6.900000
42 7.100000
43 7.300000
44 7.700000
45 8.100000
46 8.500000
47 8.900000
48 9.300000
49 9.700000
