j      y
45
0 0.000000
1 0.200000
2 0.400000
3 0.500000
4 0.600000
5 0.700000
6 0.800000
7 0.900000
8 1.000000
9 1.100000
10 1.300000
11 1.500000
12 1.700000
13 1.900000
14 2.100000
15 2.300000
16 2.500000
17 2.700000
18 2.900000
19 3.100000
20 3.300000
21 3.500000
22 3.700000
23 3.900000
24 4.100000
25 4.300000
26 4.500000
27 4.700000
28 4.900000
29 5.100000
30 5.300000
31 5.500000
32 5.700000
33 5.900000
34 6.100000
35 6.300000
36 6.500000
37 6.700000
38 6.900000
39 7.100000
40 7.500000
41 7.900000
42 8.300000
43 8.700000
44 9.100000
45 9.500000
