// resultados para BACKFILL_HEIGHT_LAYER 1.04 // height of backfill soil layer in m
average_temp   dev_stdr   walkers     hmin     nx
65.05406279   0.48228687   8000    0.02004008  500 
70.41562239   0.58163704   8000    0.01001001  1000 
75.98155147   0.63865944   8000    0.00500250  2000 
79.54742086   0.69796708   8000    0.00250063  4000 
81.79528704   0.57598016  12000    0.00200040  5000 
81.21583878   0.56002639  12000    0.00133351  7500 
80.28745539   0.58390423  12000    0.00100010  10000 
81.51263259   0.60336049   12000    0.00066671  15000 
82.49831795   0.72053090   8000    0.00200040  5000 
81.47501100   0.90172493   4512    0.00200040  5000 
// resultados para BACKFILL_HEIGHT_LAYER 0.25 // height of backfill soil layer in m
88.32767421   0.93912777   5400    0.00200040  5000 
// resultados para BACKFILL_HEIGHT_LAYER 0.25 // height of backfill soil layer in m
// double Ic2 = 503.1 amperes; //
180.21503225   1.82100339   8000    0.00200040  5000 
// resultados para BACKFILL_HEIGHT_LAYER 1.04 // height of backfill soil layer in m
// double Ic2 = 503.1 amperes; //
166.45737852   1.68896967   8000    0.00200040  5000 
166.43759429   1.68867241   8000    0.00200040  5000 
86.69272243   2.90171319   400    0.00200040  5000 
88.20486815   2.86594998   400    0.00200040  5000 
87.60474590   2.90109572   400    0.00200040  5000 
87.83464159   2.91663405   400    0.00200040  5000 
86.54916321   2.83773391   400    0.00200040  5000 
86.97349496   2.98371133   400    0.00200040  5000 
86.29505036   2.77325199   400    0.00200040  5000 
86.45432732   2.83045994   400    0.00200040  5000 
89.13333225   2.89640723   400    0.00200040  5000 
89.58171421   2.95529953   0    0.00200040  5000 
84.02560476   2.86029955   400    0.00200040  5000 
83.92778321   2.68280179   400    0.00200040  5000 
83.51933119   2.76862849   400    0.00200040  5000 
80.24878418   1.90471294   800    0.00200040  5000 
78.73506328   0.88673472   5744    0.00133351  7500 
80.78614730   2.30271691   800    0.00133351  7500 
87.85024983   2.66264811   800    0.00133351  7500 
87.14341586   2.56893713   800    0.00133351  7500 
86.29759842   2.52381266   800    0.00133351  7500 
