t_max, start_i, start_j, average_temperature, sqrt(variance), n_walkers*n_loops, hmin, d_t_0 ,nx
360000, 47, 9, 15.00000000, 0.00000000, 32, 0.10101010, 52.36407032, 100, 
360000, 239, 46, 26.46870236, 0.79983282, 160, 0.02004008, 2.06111724, 500, 
360000, 479, 92, 29.29713983, 0.85304794, 216, 0.01001001, 0.51424824, 1000, 
360000, 479, 92, 29.02425924, 0.53604840, 520, 0.01001001, 0.51424824, 1000, 
360000, 959, 184, 32.23217725, 0.56706417, 752, 0.00500250, 0.12843346, 2000, 
360000, 95, 18, 16.09375000, 0.39013641, 64, 0.05025126, 12.95978014, 200, 
360000, 95, 18, 16.09375000, 0.39013641, 64, 0.05025126, 12.95978014, 200, 
360000, 959, 184, 31.13896509, 0.55761589, 728, 0.00500250, 0.12843346, 2000, 
1, 959, 184, 15.00390315, 0.00011896, 32, 0.00500250, 0.12843346, 2000, 
1, 4799, 924, 15.00390474, 0.00008944, 32, 0.00100010, 0.00513323, 10000, 
1, 9599, 1848, 15.00406487, 0.00003251, 32, 0.00050003, 0.00128318, 20000, 
10, 9599, 1848, 15.04061342, 0.00009524, 32, 0.00050003, 0.00128318, 20000, 
10, 9599, 1848, 15.04056031, 0.00009142, 32, 0.00050003, 0.00128318, 20000, 
10, 9599, 1848, 15.03711976, 0.00022424, 800, 0.00050003, 0.00128318, 20000, 
10, 9599, 1848, 15.03720135, 0.00022017, 800, 0.00050003, 0.00128318, 20000, 
10, 9599, 1848, 29.86215602, 0.08754748, 800, 0.00050003, 0.00128318, 20000, 
10, 9599, 1848, 392.64202402, 0.20931168, 80000, 0.00050003, 0.00128318, 20000, 
10, 9599, 1848, 150.76978264, 0.17100068, 16000, 0.00050003, 0.00128318, 20000, 
10, 9599, 1848, 15.03769978, 0.00004770, 16000, 0.00050003, 0.00128318, 20000, 
3600000, 1919, 369, 53.00201061, 1.04011728, 800, 0.00250063, 0.03209231, 4000, 
5600000, 479, 92, 43.87036540, 0.73942124, 800, 0.01001001, 0.51424824, 1000, 
5600000, 2399, 462, 42.80240393, 0.69759602, 800, 0.00200040, 0.02053702, 5000, 
10000, 2499, 2499, 260313.00000000, 0.00000000, 32, 0.00020004, 0.03841536, 5000, 
10000, 2499, 2499, 260313.00000000, 0.00000000, 800, 0.00020004, 0.03841536, 5000, 
100000, 1249, 1249, 4541788.27250000, 161006.83513601, 800, 0.00040016, 0.00000008, 2500, 
5600000, 479, 92, 43.75758292, 0.74353156, 800, 0.01001001, 0.51424824, 1000, 
100000, 1249, 1249, 0.37130539, 0.01358826, 800, 0.00040016, 0.00000008, 2500, 
100000, 499, 499, 0.36762187, 0.00412880, 8000, 0.00100100, 0.00000050, 1000, 
