t_max, start_i, start_j, average_temperature, sqrt(variance), n_walkers*n_loops, hmin, d_t_0 ,nx
3600000, 119, 17, 21.15000000, 0.17203742, 800, 0.04016064, 8.27761251, 250, 
3600000, 239, 35, 63.11853949, 1.46736414, 800, 0.02004008, 1.03055862, 500, 
3600000, 478, 70, 93.24886527, 2.49924313, 800, 0.01001001, 0.25712412, 1000,
3600000, 957, 140, 85.13169785, 2.32314009, 800, 0.00500250, 0.06421673, 2000, 
3600000, 1437, 210, 89.10150837, 2.23223913, 800, 0.00333444, 0.02853125, 3000,
3600000, 1916, 280, 85.07754758, 2.30251854, 800, 0.00250063, 0.01604615, 4000, 
3600000, 2395, 351, 85.19307997, 2.21702323, 800, 0.00200040, 0.01026851, 5000, 
36000, 957, 140, 46.48214028, 0.97575258, 800, 0.00500250, 0.06421673, 2000, 
72000, 957, 140, 52.44946645, 1.26841926, 800, 0.00500250, 0.06421673, 2000, 
144000, 957, 140, 63.29170633, 1.54119266, 800, 0.00500250, 0.06421673, 2000, 
288000, 957, 140, 68.27651830, 1.61673005, 800, 0.00500250, 0.06421673, 2000, 
360000, 957, 140, 67.21627410, 1.62890324, 800, 0.00500250, 0.06421673, 2000, 
720000, 957, 140, 75.56478565, 1.93078926, 800, 0.00500250, 0.06421673, 2000, 
1440000, 957, 140, 82.42133788, 2.21237124, 800, 0.00500250, 0.06421673, 2000, 
3600000, 957, 140, 86.13519323, 2.12017494, 800, 0.00500250, 0.06421673, 2000, 
7200000, 957, 140, 87.33346432, 2.37190270, 800, 0.00500250, 0.06421673, 2000, 
14400000, 957, 140, 90.83676234, 2.40540920, 800, 0.00500250, 0.06421673, 2000, 
28800000, 957, 140, 89.46831662, 2.26844044, 800, 0.00500250, 0.06421673, 2000, 
3600, 957, 140, 27.69102955, 0.09338332, 8000, 0.00500250, 0.06421673, 2000, 
360, 957, 140, 17.66635818, 0.01261268, 8000, 0.00500250, 0.06421673, 2000, 
36, 957, 140, 15.35023204, 0.00078402, 8000, 0.00500250, 0.06421673, 2000, 
3, 957, 140, 15.03765226, 0.00003571, 80000, 0.00500250, 0.06421673, 2000, 
3, 957, 140, 15.03760146, 0.00003578, 80000, 0.00500250, 0.06421673, 2000, 
3600000, 957, 140, 86.39231296, 2.34960160, 800, 0.00500250, 0.06421673, 2000, 
3600000, 957, 140, 85.40164997, 1.55372017, 1600, 0.00500250, 0.06421673, 2000, 
